,rank_,result,evaluation
0,10,0.0020011825940237566,map
1,20,0.002488360105253322,map
2,30,0.0028166855370088412,map
3,10,0.007050369466476849,ndcg
4,20,0.014168530947054437,ndcg
5,30,0.02237136465324385,ndcg
